no,version,original,"ivod_timecode
（右下角會議時間）"
第二條,"[國民黨黨團及台灣民眾黨黨團共提再修正動議] 
立法委員應分別於每年 2 月 1 日及 9 月 1 日起報到，開議日由各黨團協商決定之，但經總統解散時，由新任委員於選舉結果公告後第三日起報到，第十日開議
前項報到及出席會議應由委員親自為之。
第一項開議日黨團協商無法達成共識時，應由院長召開全院委員談話會依各個黨團所提之議程草案表決定之","立法委員應分別於每年二月一日及九月一日起報到，開議日由各黨團協商決定之。但經總統解散時，由新任委員於選舉結果公告後第三日起報到，第十日開議。
前項報到及出席會議，應由委員親自為之。","18:51:36
https://ivod.ly.gov.tw/Play/Full/1M/15925"
第十五條,"[國民黨黨團及台灣民眾黨黨團共提再修正動議] 
總統依憲法增修條文第二條第三項之規定發布緊急命令，提交立法院追認時，不經討論，交全院委員會審查；審查後提出院會以記名投票表決。未獲同意者，該緊急命令立即失效。
總統於立法院休會期間發布緊急命令提交追認時，立法院應即召開臨時會，依前項規定處理。
總統於立法院解散後發布緊急命令，提交立法院追認時，立法院應於三日內召開臨時會，並於開議七日內議決，如未獲同意，該緊急命令立即失效。但於新任立法委員選舉投票日後發布者，由新任立法委員於就職後依第一項規定處理。","總統依憲法增修條文第二條第三項之規定發布緊急命令，提交立法院追認時，不經討論，交全院委員會審查；審查後提出院會以無記名投票表決。未獲同意者，該緊急命令立即失效。
總統於立法院休會期間發布緊急命令提交追認時，立法院應即召開臨時會，依前項規定處理。
總統於立法院解散後發布緊急命令，提交立法院追認時，立法院應於三日內召開臨時會，並於開議七日內議決，如未獲同意，該緊急命令立即失效。但於新任立法委員選舉投票日後發布者，由新任立法委員於就職後依第一項規定處理。","20:43:30
https://ivod.ly.gov.tw/Play/Full/1M/15925"
第十五條之一,"[國民黨黨團再修正動議]
依中華民國憲法增修條文第四條第三項規定之精神，立法院於每年集會時邀請總統至立法院進行國情報告，總統於每年二月一日前向立法院送交國情報告書，並於三月一日前赴立法院進行國情報告。新任總統於就職兩週內立法院送交國情報告書，並於一個月內赴立法院進行國情報告。",依中華民國憲法增修條文第四條第三項規定，立法院得於每年集會時，聽取總統國情報告。,"21:05:40
21:25:40
https://ivod.ly.gov.tw/Play/Full/1M/15925"
第十五條之二,"[國民黨黨團及台灣民眾黨黨團共提再修正動議] 
立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，就國家大政方針及重要政策議題，聽取總統國情報告。
總統就其職權相關之國家大政方針及重要政策議題，得咨請立法院同意後，至立法院進行國情報告。","立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，就國家安全大政方針，聽取總統國情報告。
總統就其職權相關之國家大政方針，得咨請立法院同意後，至立法院進行國情報告。","21:49:00
22:07:30
https://ivod.ly.gov.tw/Play/Full/1M/15925"
第十五條之四,"[國民黨黨團及台灣民眾黨黨團共提再修正動議] 
立法委員於總統國情報告完畢後，得就報告不明瞭處，提出口頭或書面問題；立法委員進行前項口頭提問時，總統應依序即時回答，其發言時間、人數、順序、政黨比例等事項，由黨團協商決定。
就立法委員第一項之書面問題，總統應於七日內以書面回覆，但事項牽涉過廣者，得延長五日。","立法委員於總統國情報告完畢後，得就報告不明瞭處，提出問題；其發言時間、人數、順序、政黨比例等事項，由黨團協商決定。
就前項委員發言，經總統同意時，得綜合再做補充報告。","22:09:14
22:32:10

https://ivod.ly.gov.tw/Play/Full/1M/15925"
第十七條,維持現行法條,"行政院遇有重要事項發生，或施政方針變更時，行政院院長或有關部會首長應向立法院院會提出報告，並備質詢。
前項情事發生時，如有立法委員提議，十五人以上連署或附議，經院會議決，亦得邀請行政院院長或有關部會首長向立法院院會報告，並備質詢。","23:59:24
23:18:40"
第二十二條,"[民進黨黨團再修正動議] 
依第十七條及第十八條提出之口頭質詢，應由行政院院長或質詢委員指定之有關部會首長答復；未及答復部分，應於十日內以書面答復。但質詢事項牽涉過廣者，得延長五日。",依第十七條及第十八條提出之口頭質詢，應由行政院院長或質詢委員指定之有關部會首長答復；未及答復部分，應於二十日內以書面答復。但質詢事項牽涉過廣者，得延長五日。,"23:10:15
23:45:00"
第二十三條,"[民進黨黨團再修正動議] 
立法委員行使憲法增修條文第三條第二項第一款之質詢權，除依第十六條至第二十一條規定處理外，應列入議事日程質詢事項，並由立法院送交行政院。
行政院應於收到前項質詢後十五日內，將書面答復送由立法院轉知質詢委員，並列入議事日程質詢事項。但如質詢內容牽涉過廣者，答復時間得延長十日。","立法委員行使憲法增修條文第三條第二項第一款之質詢權，除依第十六條至第二十一條規定處理外，應列入議事日程質詢事項，並由立法院送交行政院。
行政院應於收到前項質詢後二十日內，將書面答復送由立法院轉知質詢委員，並列入議事日程質詢事項。但如質詢內容牽涉過廣者，答復時間得延長五日。","23:45:30
23:58:58"
第二十五條,"[國民黨黨團及台灣民眾黨黨團共提再修正動議] 
質詢之答復，不得超過質詢範圍之外，並不得反質詢。
被質詢人除為避免國防、外交明顯立即之危害或依法應秘密之事項者並經主席同意者外，不得拒絕答復、拒絕提供資料、隱匿資訊、虛偽答復或有其他藐視國會之行為。
被質詢人非經立法院院會或各委員會之同意，不得規定，主席得予制止、命出席，並得要求被質詢人為答復。
被質詢人經主席依前項規定制止、命出席或要求答復卻仍違反者，由主席或質詢委員提議，出席委員五人以上連署或附議，經院會決議，處被質詢人二萬元以上二十萬元以下罰鍰。
前項情形，經限期改正，逾期仍不改正者，得按次連續課處罰鍰。
前二項罰鍰處分，受處分者如有不服，得於處分書送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。
違反第一項至第三項規定之政府人員，由主席或質詢委員提議，出席委員五人以上連署或附議，經院會決議，移送彈劾或懲戒。
政府人員於立法院受質詢時，為虛偽陳述者，依法追訴其刑事責任。",質詢之答復，不得超過質詢範圍之外。被質詢人除為避免國防、外交明顯立即之危害或依法應秘密之事項者外，不得拒絕答復。被質詢人違反第一項規定者，主席得予制止。,"（今日直播，尚無檔案）
09:55:50
09:58:22"
第二十六條,"[民進黨黨團再修正動議] 
第二十六條行政院院長、副院長及各部會首長應親自出席立法院院會，並備質詢。因故不能出席者，應於開會前檢送必須請假之理由及行政院院長批准之請假書。
各部會首長因故不能出席，請假時，非政務官之部會副首長不得上發言台備詢，必要時，得提供資料，由行政院院長答復。",行政院院長、副院長及各部會首長應親自出席立法院院會，並備質詢。因故不能出席者，應於開會前檢送必須請假之理由及行政院院長批准之請假書。,11:10:34
