日期,內容,會議記錄相關連結
4/1,委員會審查,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/23/LCIDC01_1132301_00003.pdf
4/3,國民黨吳宗憲主持公聽會：「啟動國會改革 ─立法院職權 行使法相關法案」公聽會,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/24/LCIDC01_1132401_00004.pdf
4/10,民進黨鍾佳濱主持公聽會：「如何落實國會調查／聽證權，以有效監督行政機關，並避免侵犯人民自由／隱私權」公聽會,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/25/LCIDC01_1132501_00021.pdf
4/11,民進黨鍾佳濱主持公聽會：「如何落實國會調查／聽證權，以有效監督行政機關，並防範機密外洩危害國安」公聽會,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/26/LCIDC01_1132601_00001.pdf
4/15,委員會審查（民進黨提案併案審查未通過、其他版本「逐條審查」後出委員會）,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/28/LCIDC01_1132801_00018.pdf
4/18,委員會審查（民進黨再次提案併案審查，被提散會動議，解散）,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/31/LCIDC01_1133101_00020.pdf
4/25,委員會審查（民進黨再次提案併案審查，被提散會動議，解散）,https://ppg.ly.gov.tw/ppg/PublicationOfficialGazettes/download/communique1/final/pdf/113/34/LCIDC01_1133401_00001.pdf
5/3,院會（民進黨提案希望將黨團版本逕付二讀，表決未過；國民黨黨團 4 版本提案逕付二讀，表決通過）,https://ppg.ly.gov.tw/ppg/SittingYuanInfo/download/agendarec1/02/pdf/11/01/12LCEWC03_110112.pdf
5/8,黨團協商,https://ppg.ly.gov.tw/ppg/sittings/2024050642/details?meetingDate=113/05/08&meetingTime=12:00-13:00&departmentCode=null
5/16,黨團協商,https://ppg.ly.gov.tw/ppg/SittingAttachmentCapp/download/2024051514_1.pdf
5/17,院會表決,
5/21,院會表決,
