序號,提案名稱,主提案人,所有提案人,進度,首次排入院會日期.x,會期,提案編號,no,pdf
1,立法院職權行使法第三十一條及第七十一條之一條文修正草案,李彥秀等,李彥秀  廖偉翔  林沛祥  羅廷瑋,1130503   逕付二讀,1130503,11屆01期12次,20委11004084,202110040840000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00283.pdf
2,立法院職權行使法第二十二條、第二十三條及第二十八條條文修正草案,羅智強等,羅智強  蘇清泉  翁曉玲  林沛祥  游顥  羅廷瑋,1130521   二讀(逐條討論),1130426,11屆01期11次,20委11003384,202110033840000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00276.pdf
3,立法院職權行使法部分條文修正草案,羅智強等,羅智強  林沛祥  徐巧芯  葉元之  廖偉翔,1130521   二讀(逐條討論),1130426,11屆01期11次,20委11003385,202110033850000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00277.pdf
4,立法院職權行使法第二十五條條文修正草案,羅智強等,羅智強  蘇清泉,1130521   二讀(逐條討論),1130412,11屆01期09次,20委11002912,202110029120000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00282.pdf
5,立法院職權行使法第十五條之一條文修正草案,呂玉玲,呂玉玲,1130521   二讀(逐條討論),1130409,11屆01期08次,20委11002713,202110027130000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00278.pdf
6,立法院職權行使法增訂第二十八條之三及第二十八條之四條文草案,呂玉玲,呂玉玲,1130521   二讀(逐條討論),1130409,11屆01期08次,20委11002714,202110027140000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00279.pdf
7,立法院職權行使法部分條文修正草案,鄭天財,鄭天財,1130521   二讀(逐條討論),1130409,11屆01期08次,20委11002746,202110027460000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00280.pdf
8,立法院職權行使法部分條文修正草案,翁曉玲,翁曉玲,1130521   二讀(逐條討論),1130409,11屆01期08次,20委11002782,202110027820000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\14\LCEWA01_110114_00281.pdf
9,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  吳思瑤  莊瑞雄,1130508   委員會審議中,1130409,11屆01期08次,20委11002813,202110028130000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\08\LCEWA01_110108_00112.pdf
10,立法院職權行使法增訂部分條文草案,賴士葆,賴士葆,1130521   二讀(逐條討論),1130322,11屆01期06次,20委11001731,202110017310000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\06\LCEWA01_110106_00041.pdf
11,立法院職權行使法第十五條之一、第十五條之二及第十五條之四條文修正草案,吳宗憲,吳宗憲,1130521   二讀(逐條討論),1130322,11屆01期06次,20委11001688,202110016880000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\11\01\06\LCEWA01_110106_00070.pdf
